Run_ID	Arah	Trip	Jati_Mulya	Bekasi_Barat	Cikunir_2	Cikunir_1	Jatibening_Baru	Halim	Cawang	Ciliwung	Cikoko	Pancoran	Kuningan	Rasuna_Said	Setiabudi	Dukuh_Atas
Run-B01	JM_to_DA	1	5:25	5:29	5:34	5:37	5:41	5:48	5:53	5:56	5:59	6:02	6:08	6:10	6:14	6:16
Run-B01	DA_to_JM	1	7:12	7:08	7:04	7:00	6:56	6:50	6:45	6:42	6:39	6:35	6:30	6:27	6:24	6:21
Run-B02	JM_to_DA	2	5:44	5:48	5:53	5:56	6:00	6:07	6:12	6:15	6:18	6:21	6:27	6:29	6:33	6:35
Run-B02	DA_to_JM	2	7:31	7:27	7:23	7:19	7:15	7:09	7:04	7:01	6:58	6:54	6:49	6:46	6:43	6:40
Run-B03	JM_to_DA	3	6:03	6:07	6:12	6:15	6:19	6:26	6:31	6:34	6:37	6:40	6:46	6:48	6:52	6:54
Run-B03	DA_to_JM	3	7:50	7:46	7:42	7:38	7:34	7:28	7:23	7:20	7:17	7:13	7:08	7:05	7:02	6:59
Run-B04	JM_to_DA	4	6:22	6:26	6:31	6:34	6:38	6:45	6:50	6:53	6:56	6:59	7:05	7:07	7:11	7:13
Run-B04	DA_to_JM	4	8:09	8:05	8:01	7:57	7:53	7:47	7:42	7:39	7:36	7:32	7:27	7:24	7:21	7:18
Run-B05	JM_to_DA	5	6:41	6:45	6:50	6:53	6:57	7:04	7:09	7:12	7:15	7:18	7:24	7:26	7:30	7:32
Run-B05	DA_to_JM	5	8:28	8:24	8:20	8:16	8:12	8:06	8:01	7:58	7:55	7:51	7:46	7:43	7:40	7:37
Run-B06	JM_to_DA	6	7:00	7:04	7:09	7:12	7:16	7:23	7:28	7:31	7:34	7:37	7:43	7:45	7:49	7:51
Run-B06	DA_to_JM	6	8:47	8:43	8:39	8:35	8:31	8:25	8:20	8:17	8:14	8:10	8:05	8:02	7:59	7:56
Run-B07	JM_to_DA	7	7:19	7:23	7:28	7:31	7:35	7:42	7:47	7:50	7:53	7:56	8:02	8:04	8:08	8:10
Run-B07	DA_to_JM	7	9:06	9:02	8:58	8:54	8:50	8:44	8:39	8:36	8:33	8:29	8:24	8:21	8:18	8:15
Run-B08	JM_to_DA	8	7:38	7:42	7:47	7:50	7:54	8:01	8:06	8:09	8:12	8:15	8:21	8:23	8:27	8:29
Run-B08	DA_to_JM	8	9:25	9:21	9:17	9:13	9:09	9:03	8:58	8:55	8:52	8:48	8:43	8:40	8:37	8:34
Run-B09	JM_to_DA	9	7:57	8:01	8:06	8:09	8:13	8:20	8:25	8:28	8:31	8:34	8:40	8:42	8:46	8:48
Run-B09	DA_to_JM	9	9:44	9:40	9:36	9:32	9:28	9:22	9:17	9:14	9:11	9:07	9:02	8:59	8:56	8:53
Run-B10	JM_to_DA	10	8:16	8:20	8:25	8:28	8:32	8:39	8:44	8:47	8:50	8:53	8:59	9:01	9:05	9:07
Run-B10	DA_to_JM	10	10:03	9:59	9:55	9:51	9:47	9:41	9:36	9:33	9:30	9:26	9:21	9:18	9:15	9:12
Run-B11	JM_to_DA	11	8:35	8:39	8:44	8:47	8:51	8:58	9:03	9:06	9:09	9:12	9:18	9:20	9:24	9:26
Run-B11	DA_to_JM	11	10:22	10:18	10:14	10:10	10:06	10:00	9:55	9:52	9:49	9:45	9:40	9:37	9:34	9:31
Run-B12	JM_to_DA	12	8:54	8:58	9:03	9:06	9:10	9:17	9:22	9:25	9:28	9:31	9:37	9:39	9:43	9:45
Run-B12	DA_to_JM	12	10:41	10:37	10:33	10:29	10:25	10:19	10:14	10:11	10:08	10:04	9:59	9:56	9:53	9:50
Run-B13	JM_to_DA	13	9:08	9:13	9:17	9:21	9:25	9:31	9:36	9:39	9:42	9:46	9:51	9:54	9:57	10:00
Run-B13	DA_to_JM	13	10:56	10:52	10:47	10:44	10:40	10:33	10:28	10:25	10:23	10:19	10:13	10:11	10:07	10:04
Run-B14	JM_to_DA	14	9:21	9:25	9:30	9:33	9:37	9:44	9:49	9:52	9:55	9:58	10:04	10:06	10:10	10:12
Run-B14	DA_to_JM	14	11:08	11:04	11:00	10:56	10:52	10:46	10:41	10:38	10:35	10:31	10:26	10:23	10:20	10:17
Run-B15	JM_to_DA	15	9:33	9:38	9:42	9:46	9:50	9:56	10:01	10:04	10:07	10:11	10:16	10:19	10:22	10:25
Run-B15	DA_to_JM	15	11:21	11:17	11:12	11:09	11:05	10:58	10:53	10:50	10:48	10:44	10:38	10:36	10:32	10:29
Run-B16	JM_to_DA	16	9:46	9:50	9:55	9:58	10:02	10:09	10:14	10:17	10:20	10:23	10:29	10:31	10:35	10:37
Run-B16	DA_to_JM	16	11:33	11:29	11:25	11:21	11:17	11:11	11:06	11:03	11:00	10:56	10:51	10:48	10:45	10:42
Run-B17	JM_to_DA	17	9:58	10:03	10:07	10:11	10:15	10:21	10:26	10:29	10:32	10:36	10:41	10:44	10:47	10:50
Run-B17	DA_to_JM	17	11:46	11:42	11:37	11:34	11:30	11:23	11:18	11:15	11:13	11:09	11:03	11:01	10:57	10:54
Run-B18	JM_to_DA	18	10:11	10:15	10:20	10:23	10:27	10:34	10:39	10:42	10:45	10:48	10:54	10:56	11:00	11:02
Run-B18	DA_to_JM	18	11:58	11:54	11:50	11:46	11:42	11:36	11:31	11:28	11:25	11:21	11:16	11:13	11:10	11:07
Run-B19	JM_to_DA	19	10:23	10:28	10:32	10:36	10:40	10:46	10:51	10:54	10:57	11:01	11:06	11:09	11:12	11:15
Run-B19	DA_to_JM	19	12:11	12:07	12:02	11:59	11:55	11:48	11:43	11:40	11:38	11:34	11:28	11:26	11:22	11:19
Run-B20	JM_to_DA	20	10:36	10:40	10:45	10:48	10:52	10:59	11:04	11:07	11:10	11:13	11:19	11:21	11:25	11:27
Run-B20	DA_to_JM	20	12:23	12:19	12:15	12:11	12:07	12:01	11:56	11:53	11:50	11:46	11:41	11:38	11:35	11:32
Run-B21	JM_to_DA	21	10:48	10:53	10:57	11:01	11:05	11:11	11:16	11:19	11:22	11:26	11:31	11:34	11:37	11:40
Run-B21	DA_to_JM	21	12:36	12:32	12:27	12:24	12:20	12:13	12:08	12:05	12:03	11:59	11:53	11:51	11:47	11:44
Run-B22	JM_to_DA	22	11:01	11:05	11:10	11:13	11:17	11:24	11:29	11:32	11:35	11:38	11:44	11:46	11:50	11:52
Run-B22	DA_to_JM	22	12:48	12:44	12:40	12:36	12:32	12:26	12:21	12:18	12:15	12:11	12:06	12:03	12:00	11:57
Run-B23	JM_to_DA	23	11:13	11:18	11:22	11:26	11:30	11:36	11:41	11:44	11:47	11:51	11:56	11:59	12:02	12:05
Run-B23	DA_to_JM	23	13:01	12:57	12:52	12:49	12:45	12:38	12:33	12:30	12:28	12:24	12:18	12:16	12:12	12:09
Run-B24	JM_to_DA	24	11:26	11:30	11:35	11:38	11:42	11:49	11:54	11:57	12:00	12:03	12:09	12:11	12:15	12:17
Run-B24	DA_to_JM	24	13:13	13:09	13:05	13:01	12:57	12:51	12:46	12:43	12:40	12:36	12:31	12:28	12:25	12:22
Run-B25	JM_to_DA	25	11:38	11:43	11:47	11:51	11:55	12:01	12:06	12:09	12:12	12:16	12:21	12:24	12:27	12:30
